value,title
7.35,"1st Century Bancshares, Inc. (FCTY)"
0.43,1347 Capital Corp. (TFSCR)
10.43,1-800-Flowers.com Inc. (FLWS)
10.36,1347 Capital Corp. (TFSCU)
9.60,TFS Corporation Limited (TFSC)
11.72,1st Constitution Bancorp (FCCY)
34.69,1st Source Corporation (SRCE)
60.69,VelocityShares 3x Inverse Silver ETN (DSLV)
77.26,VelocityShares 3x Inverse Gold ETN (DGLD)
7.91,"1347 Property Insurance Holdings, Inc. (PIH)"
15.43,VelocityShares 3x Long Silver ETN (USLV)
31.89,"2U, Inc. (TWOU)"
10.04,VelocityShares 3x Long Gold ETN (UGLD)
8.74,8x8 Inc. (EGHT)
7.40,"6D Global Technologies, Inc. (SIXD)"
34.91,51job Inc. (JOBS)
14.39,"AV Homes, Inc. (AVHI)"
39.32,"A. Schulman, Inc. (SHLM)"
6.66,Abeona Therapeutics Inc. (ABEO)
32.29,Abengoa Yield plc (ABY)
15.73,Abengoa SA (ABGB)
53.82,"Abaxis, Inc. (ABAX)"
2.56, (ABEOW)
67.91,"ABIOMED, Inc. (ABMD)"
2.62,Abraxas Petroleum Corp. (AXAS)
80.23,"Acadia Healthcare Company, Inc. (ACHC)"
0.24,1347 Capital Corp. (TFSCW)
0.36,Acasti Pharma Inc. (ACST)
44.79,ACADIA Pharmaceuticals Inc. (ACAD)
23.18,AAON Inc. (AAON)
25.24,"Accelerate Diagnostics, Inc. (AXDX)"
8.27,Acacia Research Corporation (ACTG)
7.16,Accuray Incorporated (ARAY)
30.10,"Acceleron Pharma, Inc. (XLRN)"
4.12,"AcelRx Pharmaceuticals, Inc. (ACRX)"
18.63,AccuShares Spot CBOE VIX Up Shares (VXUP)
23.98,Aceto Corp. (ACET)
24.00,"ACI Worldwide, Inc. (ACIW)"
9.08,"Achillion Pharmaceuticals, Inc. (ACHN)"
6.73,"Achaogen, Inc. (AKAO)"
20.97,Access National Corporation (ANCX)
20.36,ACNB Corp. (ACNB)
18.07,8point3 Energy Partners LP (CAFD)
1.53,"Actions Semiconductor Co., Ltd. (ACTS)"
25.89,"Activision Blizzard, Inc. (ATVI)"
0.33,"Acorn Energy, Inc. (ACFN)"
34.61,"Acorda Therapeutics, Inc. (ACOR)"
0.87,"Acura Pharmaceuticals, Inc. (ACUR)"
17.01,Acxiom Corporation (ACXM)
27.13,Addus HomeCare Corporation (ADUS)
4.08,Adamis Pharmaceuticals Corporation (ADMP)
16.02,Adaptimmune Therapeutics plc (ADAP)
2.25,ADDvantage Technologies Group Inc. (AEY)
7.10,Adept Technology Inc. (ADEP)
1.95,Active Power Inc. (ACPW)
9.63,"ADMA Biologics, Inc. (ADMA)"
28.96,"Adamas Pharmaceuticals, Inc. (ADMS)"
16.93,ADTRAN Inc. (ADTN)
30.56,"Aduro BioTech, Inc. (ADRO)"
1.96,"Advanced Micro Devices, Inc. (AMD)"
22.50,AccuShares Spot CBOE VIX Down Shares (VXDN)
27.36,"Advanced Energy Industries, Inc. (AEIS)"
0.00,Advanced Accelerator Applications S.A. (AAAP)
18.12,"Advaxis, Inc. (ADXS)"
81.44,Adobe Systems Incorporated (ADBE)
23.07,AdvisorShares YieldPro ETF (YPRO)
13.40,"Advaxis, Inc. (ADXSW)"
18.73,"Aegerion Pharmaceuticals, Inc. (AEGR)"
18.06,Aegion Corporation (AEGN)
3.49,"Aemetis, Inc. (AMTX)"
18.68,"Aerie Pharmaceuticals, Inc. (AERI)"
57.83,AEP Industries Inc. (AEPI)
2.11,Aehr Test Systems (AEHR)
0.24,Aeterna Zentaris Inc. (AEZS)
8.94,"Aethlon Medical, Inc. (AEMD)"
24.20,AdvisorShares Snrse Glbl Multi-Strat ETF (MULT)
27.75,"AeroVironment, Inc. (AVAV)"
10.57,"Agile Therapeutics, Inc. (AGRX)"
9.52,Agilysys Inc. (AGYS)
11.32,Affymetrix Inc. (AFFX)
9.22,Agenus Inc. (AGEN)
10.61,"Air Transport Services Group, Inc. (ATSG)"
110.68,"Agios Pharmaceuticals, Inc. (AGIO)"
26.18,Air T Inc. (AIRT)
42.24,Air Methods Corp. (AIRM)
5.77,Aixtron SE (AIXG)
13.92,Actua Corporation (ACTA)
43.64,"Akorn, Inc. (AKRX)"
71.67,"Akamai Technologies, Inc. (AKAM)"
9.09,"Akebia Therapeutics, Inc. (AKBA)"
4.80,AirMedia Group Inc. (AMCN)
4.44,Akers Biosciences Inc. (AKER)
16.21,"Alarm.com Holdings, Inc. (ALRM)"
19.65,Albany Molecular Research Inc. (AMRI)
2.16,Alaska Communications Systems Group Inc. (ALSK)
6.71,Alcobra Ltd. (ADHD)
48.57,Alder Biopharmaceuticals Inc. (ALDR)
12.97,Alcentra Capital Corporation (ABDC)
199.11,"Alexion Pharmaceuticals, Inc. (ALXN)"
45.93,Alico Inc. (ALCO)
1.14,Alexza Pharmaceuticals Inc. (ALXA)
8.29,"Aldeyra Therapeutics, Inc. (ALDX)"
63.61,Align Technology Inc. (ALGN)
65.05,Alkermes plc (ALKS)
4.67,"Alimera Sciences, Inc. (ALIM)"
195.60,Allegiant Travel Company (ALGT)
20.25,Alliance Fiber Optic Products Inc. (AFOP)
17.23,"Alliance Healthcare Services, Inc. (AIQ)"
22.
